"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"140","06/04","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"141","06/04","例行賽","台鋼雄鷹","統一獅","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"142","06/06","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"143","06/06","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"144","06/06","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"145","06/07","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"146","06/07","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"147","06/07","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"148","06/08","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"149","06/08","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"150","06/08","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"151","06/10","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"152","06/10","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"153","06/10","例行賽","富邦悍將","統一獅","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"154","06/12","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"155","06/12","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"156","06/12","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"157","06/13","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"158","06/13","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"159","06/13","例行賽","味全龍","富邦悍將","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"160","06/14","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"161","06/14","例行賽","樂天桃猿","富邦悍將 ","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"162","06/14","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"163","06/15","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"164","06/15","例行賽","樂天桃猿","富邦悍將 ","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"165","06/15","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"166","06/17","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"167","06/17","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
